"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ENSMUSG00000093577";100,949613791324;1,32767888346638;0,401907354655431;3,3034451051652;0,000955046658436283;0,0167555647509107
"ENSMUSG00000105572";110,966705914944;1,18768180875954;0,329433773219214;3,60522176325018;0,000311886484929553;0,0083913879524204
"ENSMUSG00000028017";98,8749610166114;1,13708216326382;0,262762647097676;4,32741173763995;1,50871771702945e-05;0,00122683720700694
"ENSMUSG00000028012";17,514187850826;2,47793569588731;0,526008761750111;4,71082589507224;2,4671493765266e-06;0,000361821611842737
"ENSMUSG00000019232";3691,03096444669;1,15203642574389;0,194939915184157;5,90970004606587;3,4273123486436e-09;2,45285890167725e-06
"ENSMUSG00000118633";11,7025413432191;1,74277177229696;0,575293802552653;3,02935954561662;0,00245072828630303;0,0300126149887296
"ENSMUSG00000028862";198,418021910477;2,35148806640012;0,485314536511059;4,84528669449104;1,26428978997272e-06;0,000238112346549389
"ENSMUSG00000012123";32,010230605246;1,42812775376128;0,383489917418721;3,72402946959867;0,000196068023915479;0,00619398030142371
"ENSMUSG00000108391";28,4785164653962;1,41293743180884;0,34874960991076;4,05143802790314;5,09038093836742e-05;0,00266307297512485
"ENSMUSG00000008307";151,944073684356;1,07353099496827;0,27770406622226;3,86573740014694;0,000110754056624637;0,0043551902881934
"ENSMUSG00000097640";85,7526506012741;1,07177459793317;0,239837082832349;4,46876098256398;7,86739814527243e-06;0,000790806110197833
"ENSMUSG00000107300";56,6799488122988;2,01362430270128;0,425199644363889;4,73571492684035;2,18284236837502e-06;0,000342591365394437
"ENSMUSG00000045238";10,6337079209701;1,55795569998402;0,556736159350461;2,79837347335526;0,00513606875927453;0,0466092095944186
"ENSMUSG00000097237";22,4329291043356;-1,42471875841379;0,505312537744676;-2,8194803255281;0,00481014796522731;0,0447540231408349
"ENSMUSG00000105107";17,0390442511595;1,05004260190606;0,352398667136846;2,97970083268872;0,00288530022887137;0,0330266450965454
"ENSMUSG00000029716";139,739032160862;1,42463173150309;0,314567469038513;4,52885905798694;5,93030383727235e-06;0,000659037243829049
"ENSMUSG00000100783";11,6697879543556;-1,53773712872128;0,465913612208849;-3,30047693054303;0,000965206485679532;0,0169142746736319
"ENSMUSG00000106858";68,6617701348842;2,10701839939371;0,383806554886179;5,48979263790471;4,02405889419077e-08;1,50952886640232e-05
"ENSMUSG00000071537";62,9255454552091;1,46857664101283;0,368929197800521;3,98064628597621;6,87281538446443e-05;0,00318571017769009
"ENSMUSG00000029862";112,767551003201;1,16708906641439;0,334377387455121;3,49033490361555;0,000482415581090122;0,0108298363574209
"ENSMUSG00000046764";35,8150160910904;2,37463488028337;0,441229348374738;5,38186067864773;7,37198142249997e-08;2,18446810226093e-05
"ENSMUSG00000107605";19,5952841782997;1,73342689943668;0,556660165902348;3,11397690299392;0,00184583938742232;0,0254631906860139
"ENSMUSG00000107583";12,956771303584;1,30854771403312;0,423321038777039;3,09114736610652;0,00199384652671586;0,0266820509020195
"ENSMUSG00000097596";282,720209848273;-1,14697043175846;0,352410984131183;-3,25463871276926;0,00113536699504365;0,0189673074466116
"ENSMUSG00000051811";46,760238647966;-1,44247530946474;0,267238022541004;-5,39771734481913;6,74940871119979e-08;2,11860387124187e-05
"ENSMUSG00000085601";43,2541027968514;1,14474981627378;0,324280115753515;3,53012645753435;0,000415361085919132;0,00993342431664063
"ENSMUSG00000040714";64,5828208018814;1,11167789150017;0,298223753277722;3,72766380706407;0,000193262946160503;0,00614184837069933
