"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"ENSMUSG00000029862";112,767551003201;1,16708906641439;0,334377387455121;3,49033490361555;0,000482415581090122;0,0108298363574209
"ENSMUSG00000029797";168,74182997529;1,13428744373367;0,256841697633528;4,41629008912764;1,00409313919202e-05;0,000925635522390713
"ENSMUSG00000107499";22,4929472238914;1,23396970978666;0,31525245213951;3,91422715798761;9,06942247629326e-05;0,0038118924851898
"ENSMUSG00000089694";52,3756539450609;-1,4133736099483;0,36758839281071;-3,84498977005544;0,000120557467868106;0,00458939194701309
"ENSMUSG00000079495";29,866476209298;-1,68801142412464;0,35467795940272;-4,75927916966497;1,94285560073027e-06;0,000318913508332715
"ENSMUSG00000051262";123,544185788216;-1,47365733979441;0,290972751374855;-5,06458880713516;4,0928280819174e-07;9,38831795405976e-05
"ENSMUSG00000033508";26,7204431216681;1,32547793477371;0,380992336471229;3,47901468845897;0,000503261001614664;0,0110754561388556
"ENSMUSG00000030048";52,3160794151373;-1,84318279144294;0,523995678508045;-3,51755342084303;0,000435544672840137;0,0102245093029013
"ENSMUSG00000089997";137,704460266504;1,21899134392964;0,298771760838552;4,08000856743738;4,50340409471727e-05;0,00243657261215416
"ENSMUSG00000030074";12,307233582417;-2,08794437559485;0,594403114673659;-3,51267401541323;0,000443621396804476;0,0103435610577563
"ENSMUSG00000042213";271,458073728094;1,6094329988306;0,239608774081001;6,71692013367809;1,85605629640791e-11;3,01895993230276e-08
"ENSMUSG00000041377";69,1609274226155;-1,14684237028155;0,308857939491865;-3,7131710849601;0,000204678421489924;0,00636888055182211
"ENSMUSG00000090698";174,041438615657;1,47413769445222;0,391261009701259;3,76765805408971;0,00016478620907932;0,00557457794462668
"ENSMUSG00000051811";46,760238647966;-1,44247530946474;0,267238022541004;-5,39771734481913;6,74940871119979e-08;2,11860387124187e-05
"ENSMUSG00000004328";854,884124035365;2,34171201852087;0,323806141922231;7,23183323398256;4,76517142119594e-13;1,42097411780063e-09
"ENSMUSG00000051965";64,3729804636027;1,02798620007797;0,316975809502027;3,24310615908812;0,00118234148162589;0,0193544865409427
